title,year,authors,journal,cited_by,link,classifier_confidence,replicated_paper,method_description,result_description
The effects of endowment size and strategy method on third party punishment,2016,"J Jordan, K McAuliffe, D Rand","J Jordan, K McAuliffe, D Rand - Experimental Economics, 2016 - Springer",141,https://link.springer.com/article/10.1007/s10683-015-9466-8,low,"Fehr et al. (2004): ""Third-party punishment in experimental games""",Method not specified in abstract,Result not specified in abstract
Cortical thickness of the dorsolateral prefrontal cortex predicts strategic choices in economic games,2016,"H Takagishi, ASR Fermin, R Kanai","T Yamagishi, H Takagishi, ASR Fermin, R Kanai… - Proceedings of the …, 2016 - pnas.org",130,https://www.pnas.org/doi/abs/10.1073/pnas.1523940113,high,Not identifiable from abstract,Method not specified in abstract,not fully replicated; successfully replicates
"Replicating group-based trajectory models of crime at micro-places in Albany, NY",2016,"AP Wheeler, RE Worden","AP Wheeler, RE Worden, SJ McLean - Journal of quantitative criminology, 2016 - Springer",119,https://link.springer.com/article/10.1007/s10940-015-9268-3,high,"Weisburd et al. (2004): ""The Criminology of Place: Street Segments and Our Understanding of the""; Curman et al. (2014): ""Crime and place: a longitudinal examination of street segment patterns""",Method not specified in abstract,Result not specified in abstract
Replicating the multinationality‐performance relationship: Is there an S‐curve?,2016,"H Berry, A Kaul","H Berry, A Kaul - Strategic Management Journal, 2016 - Wiley Online Library",115,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.2567,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
The association between attention-deficit/hyperactivity (ADHD) symptoms and self-employment,2016,"I Verheul, J Block, I Franken","I Verheul, W Rietdijk, J Block, I Franken… - European journal of …, 2016 - Springer",111,https://link.springer.com/article/10.1007/s10654-016-0159-1,high,"Lichtenstein et al. (2010): ""The genetics of ADHD""",The positive association between hyperactivity and self-employment was replicated in the Dutch student sample [OR 1,directional effect found
"Social norms, labor market opportunities, and the marriage gap for skilled women",2016,"M Bertrand, P Cortés, C Olivetti, J Pan","M Bertrand, P Cortés, C Olivetti, J Pan - 2016 - nber.org",110,https://www.nber.org/papers/w22015,high,"Bertrand et al. (2016): ""Social norms, labor market opportunities, and the marriage gap for ski""",Method not specified in abstract,Result not specified in abstract
Core and periphery in the European Monetary Union: Bayoumi and Eichengreen 25 years later,2016,"NF Campos, C Macchiarelli","NF Campos, C Macchiarelli - Economics Letters, 2016 - Elsevier",100,https://www.sciencedirect.com/science/article/pii/S0165176516302932,high,"Bayoumi et al. (1993): ""Shocking Aspects of European Monetary Integration""",same design/methodology,effect significance noted
Work-related attitudes of Czech generation Z: International comparison,2016,J Kubátová,"J Kubátová - Central European Business Review, 2016 - ceeol.com",100,https://www.ceeol.com/search/article-detail?id=494386,high,"Unknown (Unkn): ""International research project focused on work attitudes among Generat""",Method not specified in abstract,effect significance noted
Should organizations be forgiving or unforgiving? A two-study replication of how forgiveness climate in hospitality organizations drives employee attitudes and …,2016,"P Guchait, JA Lanza-Abbott","P Guchait, JA Lanza-Abbott… - Cornell Hospitality …, 2016 - journals.sagepub.com",99,https://journals.sagepub.com/doi/abs/10.1177/1938965516633308,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Registered replication report: Hart & albarracín (2011),2016,"A Eerland, AM Sherrill, JP Magliano","A Eerland, AM Sherrill, JP Magliano… - Perspectives on …, 2016 - journals.sagepub.com",95,https://journals.sagepub.com/doi/abs/10.1177/1745691615605826,high,"Hart et al. (2011): ""When the heart breaks: The role of emotional distress in the decision """,direct replication,Result not specified in abstract
Economic uncertainty and earnings management,2016,"LCD Stein, CCY Wang","LCD Stein, CCY Wang - Harvard Business School Accounting & …, 2016 - papers.ssrn.com",94,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2746091,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Economic conditions and mortality: evidence from 200 years of data,2016,"DM Cutler, W Huang, A Lleras-Muney","DM Cutler, W Huang, A Lleras-Muney - 2016 - nber.org",93,https://www.nber.org/papers/w22690,medium,Not identifiable from abstract,uses original data/code; uses original data,"We find that small, but not large, booms increase contemporary mortality"
Risk taking for oneself and others: A structural model approach,2016,"FM Vieider, C Villegas‐Palacio, P Martinsson","FM Vieider, C Villegas‐Palacio, P Martinsson… - Economic …, 2016 - Wiley Online Library",85,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12290,high,Not identifiable from abstract,Method not specified in abstract,fails to replicate; null result
University knowledge and the creation of innovative start-ups: An analysis of the Italian case,2016,M Guerini,"N Ghio, M Guerini, C Rossi-Lamastra - Small Business Economics, 2016 - Springer",74,https://link.springer.com/article/10.1007/s11187-016-9720-2,high,"Anselin et al. (1997): ""Local geographic spillovers between university research and high techn""; Audretsch et al. (1996): ""R&D spillovers and the geography of innovation and production""; Audretsch et al. (2004): ""University spillovers: Does the kind of science matter?""",Method not specified in abstract,"… mainly focused on their economic and innovative performance… First, we replicate in the context of innovative start-ups a well-… The value of our re"
Cancelling out early age gender differences in competition: an analysis of policy interventions,2016,"M Sutter, D Glätzle-Rützler, L Balafoutas","M Sutter, D Glätzle-Rützler, L Balafoutas… - … Economics, 2016 - Springer",72,https://link.springer.com/article/10.1007/s10683-015-9447-y,medium,"Booth et al. (2012): ""Choosing to compete: How different are girls and boys?""; Buser et al. (2014): ""Gender, competitiveness and career choices""; Gneezy et al. (2003): ""Performance in competitive environments: Gender differences""",Method not specified in abstract,… We replicate the gender difference in tournament entry choices usually found in the literature for adults
"Gender, self-confidence, sports, and preferences for competition",2016,"I Comeig, A Grau-Grau, A Jaramillo-Gutiérrez","I Comeig, A Grau-Grau, A Jaramillo-Gutiérrez… - Journal of Business …, 2016 - Elsevier",70,https://www.sciencedirect.com/science/article/pii/S014829631500541X,high,"Niederle et al. (2007): ""Do Women Shy Away from Competition? Do Men Compete Too Much?""",Method not specified in abstract,Result not specified in abstract
Using the Pareto distribution to improve estimates of topcoded earnings,2016,"RV Burkhauser, J Larrimore","P Armour, RV Burkhauser, J Larrimore - Economic Inquiry, 2016 - Wiley Online Library",67,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12299,high,"Kopczuk et al. (2004): ""Top Income Elasticity in the United States""",Method not specified in abstract,Result not specified in abstract
Reanalyzing zero returns to education in Germany,2016,"DA Kamhöfer, H Schmitz","DA Kamhöfer, H Schmitz - Journal of Applied Econometrics, 2016 - Wiley Online Library",66,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2461,medium,Not identifiable from abstract,new/different dataset,"… (i) We replicate PW's finding using a different dataset (the German Socio-Economic Panel, SOEP) and a slightly different sample selection"
Preference reversals: Time and again,2016,"C Alós-Ferrer, ÐG Granić","C Alós-Ferrer, ÐG Granić, J Kern… - Journal of Risk and …, 2016 - Springer",65,https://link.springer.com/article/10.1007/s11166-016-9233-z,low,"Tversky et al. (1993): ""Context-dependent preferences""; Tversky et al. (1990): ""Anomalies: Preference reversals""; Wilcox & Nathaniel (1993): ""The effects of the choice set on preference reversals""",Method not specified in abstract,effect significance noted
Hard times and regime failure: autocratic responses to economic downturns,2016,"D Tanneberg, C Stefes, W Merkel","D Tanneberg, C Stefes, W Merkel - Comparing autocracies in the …, 2016 - taylorfrancis.com",63,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315752853-6/hard-times-regime-failure-autocratic-responses-economic-downturns-dag-tanneberg-christoph-stefes-wolfgang-merkel,low,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Tax reforms in Latin America in an era of democracy,2016,"M Hallerberg, C Scartascini","D Focanti, M Hallerberg, C Scartascini - Latin American Research …, 2016 - cambridge.org",62,https://www.cambridge.org/core/journals/latin-american-research-review/article/tax-reforms-in-latin-america-in-an-era-of-democracy/A2859A2BFB361DC9A214ECC1A1391F17,high,"Mahon & E. (2004): ""Tax Reform in Latin America: A Comparative Perspective""",Method not specified in abstract,Result not specified in abstract
"Context may be King, but generalizability is the Emperor!",2016,"Z Cheng, A Dimoka, PA Pavlou","Z Cheng, A Dimoka, PA Pavlou - Journal of Information …, 2016 - journals.sagepub.com",62,https://journals.sagepub.com/doi/abs/10.1057/s41265-016-0005-7,high,Not identifiable from abstract,"… Because we are able to replicate less than half of the papers in our sample even with help from the authors, we assert that econ",Result not specified in abstract
Equity premium prediction: Are economic and technical indicators unstable?,2016,L Menkhoff,"F Baetje, L Menkhoff - International Journal of Forecasting, 2016 - Elsevier",60,https://www.sciencedirect.com/science/article/pii/S0169207016300267,high,"Goyal et al. (2003): ""Predicting the Equity Premium with Dividend Ratios""; Goyal et al. (2008): ""A Comprehensive Look at The Empirical Performance of Equity Premium Pr""",Method not specified in abstract,Result not specified in abstract
Forecasting structural change and fat-tailed events in Australian macroeconomic variables,2016,"J Cross, A Poon","J Cross, A Poon - Economic Modelling, 2016 - Elsevier",56,https://www.sciencedirect.com/science/article/pii/S0264999316301237,medium,"Reserve Bank of Australia (1993): ""Inflation targeting in Australia""",Method not specified in abstract,… Set in this manner we replicate the Reserve Bank of Australia's forecasting responsibilities since adopting inflation targeting
On the timing and pricing of dividends: Comment,2016,F Schulz,"F Schulz - American Economic Review, 2016 - aeaweb.org",51,https://www.aeaweb.org/articles?id=10.1257/aer.20131416,medium,Not identifiable from abstract,"… Replication and Analysis of Alternate Term Structure Segments In this section, I replicate and … 29 Note that, likely partly due",Result not specified in abstract
Smartphones vs PCs: Does the device affect the web survey experience and the measurement error for sensitive topics?-A replication of the Mavletova & Couper's …,2016,"D Toninelli, M Revilla","D Toninelli, M Revilla - Survey Research Methods, 2016 - ojs.ub.uni-konstanz.de",50,https://ojs.ub.uni-konstanz.de/srm/article/view/6274,high,"Mavletova et al. (2013): ""Mobile Response Versus Computer Response: A Comparison of Data Quality""",different country; different context/setting; more recent data,Result not specified in abstract
Malware avoidance motivations and behaviors: A technology threat avoidance replication,2016,"DK Young, A McLeod","DK Young, D Carpenter, A McLeod - … Transactions on Replication …, 2016 - aisel.aisnet.org",50,https://aisel.aisnet.org/trr/vol2/iss1/8/,high,"Liang et al. (2010): ""Avoidance of spyware: A technology threat avoidance perspective""",conceptual replication,The results suggest that TTAT is a valid foundational framework for examining user behavior related to malicious software
The impact of private and public feedback on worker performance—evidence from the lab,2016,L Gerhards,"L Gerhards, N Siemer - Economic Inquiry, 2016 - Wiley Online Library",48,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12310,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Choice inconsistencies among the elderly: Evidence from plan choice in the Medicare Part D program: Comment,2016,"JD Ketcham, NV Kuminoff","JD Ketcham, NV Kuminoff, CA Powers - American Economic Review, 2016 - aeaweb.org",46,https://www.aeaweb.org/articles?id=10.1257/aer.20131048,high,"Abaluck et al. (2011): ""Choice Inconsistencies among the Elderly: Evidence from Plan Choice in""",Method not specified in abstract,Result not specified in abstract
Reputation formation in economic transactions,2016,"M Abraham, V Grimm","M Abraham, V Grimm, C Neeß, M Seebauer - Journal of Economic …, 2016 - Elsevier",46,https://www.sciencedirect.com/science/article/pii/S0167268115002772,high,Not identifiable from abstract,We design experiments that replicate …,Result not specified in abstract
"Replicating the networking, mentoring and venture creation benefits of entrepreneurship centres on a shoestring: A student-centred approach to entrepreneurship …",2016,"R Bell, H Bell","R Bell, H Bell - Industry and Higher Education, 2016 - journals.sagepub.com",46,https://journals.sagepub.com/doi/abs/10.1177/0950422216660921,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Sexual selection and the evolution of altruism: males are more altruistic and cooperative towards attractive females,2016,MS Bhogal,"MS Bhogal, N Galbraith, K Manktelow - 2016 - wlv.openrepository.com",45,https://wlv.openrepository.com/items/10a7d1f6-cc50-4270-868c-021394a45e37,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
'Nonlinear causality between crude oil price and exchange rate: A comparative study of China and India'—A failed replication (negative Type 1 and Type 2),2016,"G De Vita, E Trachanas","G De Vita, E Trachanas - Energy Economics, 2016 - Elsevier",43,https://www.sciencedirect.com/science/article/pii/S0140988316300524,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Pricing competition: A new laboratory measure of gender differences in the willingness to compete,2016,"J Ifcher, H Zarghamee","J Ifcher, H Zarghamee - Experimental Economics, 2016 - Springer",43,https://link.springer.com/article/10.1007/s10683-015-9458-8,medium,"Niederle et al. (2007): ""Do Women Shy Away from Competition? Do Men Compete Too Much?""",Method not specified in abstract,Result not specified in abstract
Looking upstream and downstream in entrepreneurial cognition: replicating and extending the Busenitz and Barney (1997) study,2016,"RJ Arend, J Im","RJ Arend, X Cao, A Grego‐Nagel, J Im… - Journal of Small …, 2016 - Taylor & Francis",42,https://www.tandfonline.com/doi/abs/10.1111/jsbm.12233,high,"Busenitz et al. (1997): ""Differences between entrepreneurs and managers in large organizations:""","… source of employment, economic growth, and innovation, … In this paper, we provide that research through a replication … and exe",replicates and extends original; extends original findings
"Income reliably predicts daily sadness, but not happiness: A replication and extension of Kushlev, Dunn, and Lucas (2015)",2016,"NW Hudson, RE Lucas","NW Hudson, RE Lucas… - Social psychological …, 2016 - journals.sagepub.com",42,https://journals.sagepub.com/doi/abs/10.1177/1948550616657599,high,"Kushlev et al. (2015): ""Income and well-being: The role of income in predicting daily happines""",… The present study used longitudinal data from an approximately representative German sample to replicate and extend these findin,largely replicates; replicates and extends original
The elusive effects of trade on growth: Export diversity and economic take‐off,2016,"TS Eicher, DJ Kuenzel","TS Eicher, DJ Kuenzel - Canadian Journal of Economics …, 2016 - Wiley Online Library",40,https://onlinelibrary.wiley.com/doi/abs/10.1111/caje.12197,high,"Barro & J. (2003): ""Religion and Economic Growth""",Method not specified in abstract,effect significance noted
An externality-robust auction: Theory and experimental evidence,2016,"B Bartling, N Netzer","B Bartling, N Netzer - Games and Economic Behavior, 2016 - Elsevier",40,https://www.sciencedirect.com/science/article/pii/S0899825616300197,low,"Vickrey & William (1961): ""Counterspeculation, Auctions, and Competitive Sealed Tenders""",Method not specified in abstract,"… Our experiments replicate the earlier finding of overbidding in the second-price auction, but we find that average bids equal value in the externali"
Inequality and electoral accountability: Class-biased economic voting in comparative perspective,2016,"T Hicks, AM Jacobs, JS Matthews","T Hicks, AM Jacobs, JS Matthews - The Journal of Politics, 2016 - journals.uchicago.edu",38,https://www.journals.uchicago.edu/doi/abs/10.1086/686157,low,"Bartels & M. (2002): ""Beyond the Running Tally: Partisan Bias in Political Perceptions""",Method not specified in abstract,Result not specified in abstract
Academic knowledge and economic growth: are scientific fields all alike?,2016,"C Antonelli, C Fassio","C Antonelli, C Fassio - Socio-Economic Review, 2016 - academic.oup.com",37,https://academic.oup.com/ser/article-abstract/14/3/537/2599062,medium,Not identifiable from abstract,"… We replicate the procedure displayed for hard sciences for all the four academic fields (social sciences, medical sciences and h","… We replicate the procedure displayed for hard sciences for all the four academic fields (social sciences, medical sciences and humanities) and obtai"
Prospective analysis of behavioral economic predictors of stable moderation drinking among problem drinkers attempting natural recovery,2016,"JA Tucker, JW Cheong","JA Tucker, JW Cheong, SD Chandler… - Alcoholism: Clinical …, 2016 - Wiley Online Library",30,https://onlinelibrary.wiley.com/doi/abs/10.1111/acer.13245,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
The decline in the nutritional status of the US antebellum population at the onset of modern economic growth,2016,"J Komlos, B A'Hearn","J Komlos, B A'Hearn - 2016 - nber.org",29,https://www.nber.org/papers/w21845,high,"Bodenhorn et al. (2013): ""The Decline in the Nutritional Status of the U.S. Antebellum Populatio""",Method not specified in abstract,Result not specified in abstract
"The US business cycle, 1867–2006: A dynamic factor approach",2016,"A Ritschl, S Sarferaz, M Uebele","A Ritschl, S Sarferaz, M Uebele - Review of Economics and Statistics, 2016 - direct.mit.edu",29,https://direct.mit.edu/rest/article-abstract/98/1/159/58298,medium,"Stock et al. (2003): ""Understanding Changes in the Business Cycle""",Method not specified in abstract,We replicate the Great Moderation of the 1980s and 1990s and find …
The impact of financial crises on the finance–growth relationship: A European perspective,2016,B Mahlberg,"P Haiss, H Juvan, B Mahlberg - … and Monetary Economics, 2016 - Wiley Online Library",28,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecno.12067,high,"RW et al. (2011): ""Title of the original RW paper""",panel data,Result not specified in abstract
Ambiguity attitudes in decisions for others,2016,C König-Kersting,"C König-Kersting, ST Trautmann - Economics Letters, 2016 - Elsevier",27,https://www.sciencedirect.com/science/article/pii/S0165176516302890,medium,"Halevy et al. (2009): ""Ellsberg revisited: An experimental study of ambiguity attitudes""",Method not specified in abstract,"… We replicate the gain-part of the fourfold pattern of ambiguity … , and 36"
When good measurement goes wrong: New evidence that New York State's minimum wage reduced employment,2016,"JJ Sabia, RV Burkhauser, B Hansen","JJ Sabia, RV Burkhauser, B Hansen - ILR Review, 2016 - journals.sagepub.com",27,https://journals.sagepub.com/doi/abs/10.1177/0019793915610557,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
From imitation to collusion: a replication,2016,"J Oechssler, A Roomets","J Oechssler, A Roomets, S Roth - Journal of the Economic Science …, 2016 - cambridge.org",26,https://www.cambridge.org/core/journals/journal-of-the-economic-science-association/article/from-imitation-to-collusion-a-replication/C6DD4EE127D5EE6803D2E3D1BF20DB4B,high,"Friedman et al. (2015): ""Experimental Evidence on the Effect of Imitation on Oligopoly Outcomes""",Method not specified in abstract,"… Econ Theory 155:185–205, 2015) qualifies those results in an interesting way: While they replicate … We replicate their result for duopolies"
Does bilateral trust across countries really affect international trade and factor mobility?,2016,,"E Spring, V Grossmann - Empirical Economics, 2016 - Springer",24,https://link.springer.com/article/10.1007/s00181-015-0915-1,high,"Guiso et al. (2009): ""Cultural Biases in Economic Exchange""",Method not specified in abstract,Result not specified in abstract
Flexible estimation of copulas: An application to the US housing crisis,2016,"ATY Ho, KP Huynh","ATY Ho, KP Huynh… - Journal of Applied …, 2016 - Wiley Online Library",23,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2437,high,Not identifiable from abstract,uses original data/code; uses original code,Result not specified in abstract
Built to last: Understanding the link between democracy and conflict in the international system,2016,"MJC Crescenzi, KM Kadera","MJC Crescenzi, KM Kadera - International Studies Quarterly, 2016 - academic.oup.com",23,https://academic.oup.com/isq/article-abstract/60/3/565/2469857,medium,"Gartzke et al. (2013): ""Political Regime Type and the Risk of Civil War""",Method not specified in abstract,"… We also concur that scholars should consider the economic behavior of democracies and the … In Models A and B of our Table 2 , we replicate the resu"
Behavioural economics and tax evasion: calibrating an agent-based econophysics model with experimental tax compliance data,2016,"C Bazart, S Hokamp","C Bazart, A Bonein, S Hokamp… - Journal of Tax …, 2016 - journals.docuracy.co.uk",23,https://journals.docuracy.co.uk/jota/article/view/140,high,"Alm & J. (2010): ""Testing behavioral public economic theories in the laboratory""; Alm et al. (2015): ""On the external validity of laboratory tax compliance experiments""; Alm et al. (1992): ""Institutional uncertainty and taxpayer compliance""","… Furthermore, we have been able to replicate findings frequently observed in tax compliance experiments, in particular regarding ","We find that the subjects in the experimental laboratory pursue rather mixed behaviour, including random and imitating motives"
Robust determinants of intergenerational mobility in the land of opportunity,2016,"A Kourtellos, CM Tan","A Kourtellos, C Marr, CM Tan - European Economic Review, 2016 - Elsevier",22,https://www.sciencedirect.com/science/article/pii/S0014292115000963,high,"Chetty et al. (2014): ""Where is the Land of Opportunity? The Geography of Intergenerational M""",Method not specified in abstract,closely replicates
Continuance intention on using mobile banking applications: A replication study of information systems continuance model,2016,"A Vedadi, M Warkentin","A Vedadi, M Warkentin - AIS Transactions on Replication Research, 2016 - aisel.aisnet.org",22,https://aisel.aisnet.org/trr/vol2/iss1/7/,high,"Bhattacherjee & Anol (2001): ""Understanding information systems continuance: An expectation-confirma""",Method not specified in abstract,effect significance noted
Using seasonal stochastic dynamic programming to identify optimal management decisions that achieve maximum economic sustainable yields from grasslands …,2016,"K Behrendt, O Cacho","K Behrendt, O Cacho, JM Scott, R Jones - Agricultural Systems, 2016 - Elsevier",22,https://www.sciencedirect.com/science/article/pii/S0308521X16300312,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Effects of subcultural differences on country and product evaluations: A replication study,2016,"T Aichner, P Coletti, C Forza","T Aichner, P Coletti, C Forza, U Perkmann… - Journal of Global …, 2016 - Taylor & Francis",22,https://www.tandfonline.com/doi/abs/10.1080/08911762.2015.1138012,high,Not identifiable from abstract,Method not specified in abstract,Result not specified in abstract
Market design and the stability of general equilibrium,2016,"JK Goeree, L Lindsay","JK Goeree, L Lindsay - Journal of Economic Theory, 2016 - Elsevier",20,https://www.sciencedirect.com/science/article/pii/S0022053116300138,medium,Not identifiable from abstract,Method not specified in abstract,… We replicate their experiments and confirm that tatonnement theory predicts the direction of price changes remarkably well
Refining the application of the FLQ formula for estimating regional input coefficients: An empirical study for South Korean Regions,2016,,"AT Flegg, T Tohmo - Univ. West Engl, 2016 - iioa.org",19,https://www.iioa.org/conferences/24th/papers/files/2348_20160513091_KoreaFULLpaper.docx,high,Not identifiable from abstract,"… However, using the same basic data, we were unable to replicate their findings",unable to replicate
