row_index,title,year,authors,journal,cited_by,link,is_replication,confidence,reasoning
28,"Crime, compulsory schooling laws and education",2016,"B Bell, R Costa, S Machin","B Bell, R Costa, S Machin - Economics of Education Review, 2016 - Elsevier",131,https://www.sciencedirect.com/science/article/pii/S0272775715001144,False,high,No replication signals found in title or abstract.
29,Cortical thickness of the dorsolateral prefrontal cortex predicts strategic choices in economic games,2016,"H Takagishi, ASR Fermin, R Kanai","T Yamagishi, H Takagishi, ASR Fermin, R Kanai… - Proceedings of the …, 2016 - pnas.org",130,https://www.pnas.org/doi/abs/10.1073/pnas.1523940113,True,high,Abstract has strong replication signal. (a_strong=1)
30,Using field experiments in accounting and finance,2016,"E Floyd, JA List","E Floyd, JA List - Journal of Accounting Research, 2016 - Wiley Online Library",128,https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-679X.12113,False,high,No replication signals found in title or abstract.
31,Air pollution and procyclical mortality,2016,"G Heutel, CJ Ruhm","G Heutel, CJ Ruhm - … and Resource Economists, 2016 - journals.uchicago.edu",121,https://www.journals.uchicago.edu/doi/abs/10.1086/686251,False,high,No replication signals found in title or abstract.
32,"Replicating group-based trajectory models of crime at micro-places in Albany, NY",2016,"AP Wheeler, RE Worden","AP Wheeler, RE Worden, SJ McLean - Journal of quantitative criminology, 2016 - Springer",119,https://link.springer.com/article/10.1007/s10940-015-9268-3,True,high,"Title contains explicit replication indicator. (t_strong=1, a_strong=0)"
33,Replicating the multinationality‐performance relationship: Is there an S‐curve?,2016,"H Berry, A Kaul","H Berry, A Kaul - Strategic Management Journal, 2016 - Wiley Online Library",115,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.2567,True,high,"Title contains explicit replication indicator. (t_strong=1, a_strong=0)"
34,"Class bias in voter turnout, representation, and income inequality",2016,"WW Franko, NJ Kelly, C Witko","WW Franko, NJ Kelly, C Witko - Perspectives on Politics, 2016 - cambridge.org",115,https://www.cambridge.org/core/journals/perspectives-on-politics/article/class-bias-in-voter-turnout-representation-and-income-inequality/4111BEA1EB84C8C0347004ABFBED0C2B,False,high,No replication signals found in title or abstract.
35,The association between attention-deficit/hyperactivity (ADHD) symptoms and self-employment,2016,"I Verheul, J Block, I Franken","I Verheul, W Rietdijk, J Block, I Franken… - European journal of …, 2016 - Springer",111,https://link.springer.com/article/10.1007/s10654-016-0159-1,True,high,Abstract has strong replication signal. (a_strong=1)
36,"Social norms, labor market opportunities, and the marriage gap for skilled women",2016,"M Bertrand, P Cortés, C Olivetti, J Pan","M Bertrand, P Cortés, C Olivetti, J Pan - 2016 - nber.org",110,https://www.nber.org/papers/w22015,True,high,Abstract has strong replication signal. (a_strong=1)
37,Core and periphery in the European Monetary Union: Bayoumi and Eichengreen 25 years later,2016,"NF Campos, C Macchiarelli","NF Campos, C Macchiarelli - Economics Letters, 2016 - Elsevier",100,https://www.sciencedirect.com/science/article/pii/S0165176516302932,True,high,Abstract has multiple strong replication signals. (a_strong=2)
38,Work-related attitudes of Czech generation Z: International comparison,2016,J Kubátová,"J Kubátová - Central European Business Review, 2016 - ceeol.com",100,https://www.ceeol.com/search/article-detail?id=494386,True,high,Abstract has multiple strong replication signals. (a_strong=2)
39,Should organizations be forgiving or unforgiving? A two-study replication of how forgiveness climate in hospitality organizations drives employee attitudes and …,2016,"P Guchait, JA Lanza-Abbott","P Guchait, JA Lanza-Abbott… - Cornell Hospitality …, 2016 - journals.sagepub.com",99,https://journals.sagepub.com/doi/abs/10.1177/1938965516633308,True,high,"Title contains explicit replication indicator. (t_strong=1, a_strong=0)"
40,Markov models and cost effectiveness analysis: applications in medical research,2016,"M Komorowski, J Raffa","MITC Data, M Komorowski, J Raffa - Secondary analysis of electronic …, 2016 - Springer",99,https://link.springer.com/chapter/10.1007/978-3-319-43742-2_24,False,high,No replication signals found in title or abstract.
41,Registered replication report: Hart & albarracín (2011),2016,"A Eerland, AM Sherrill, JP Magliano","A Eerland, AM Sherrill, JP Magliano… - Perspectives on …, 2016 - journals.sagepub.com",95,https://journals.sagepub.com/doi/abs/10.1177/1745691615605826,True,high,Abstract has strong replication signal. (a_strong=1)
42,Economic uncertainty and earnings management,2016,"LCD Stein, CCY Wang","LCD Stein, CCY Wang - Harvard Business School Accounting & …, 2016 - papers.ssrn.com",94,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2746091,True,high,Abstract has multiple strong replication signals. (a_strong=2)
43,Economic conditions and mortality: evidence from 200 years of data,2016,"DM Cutler, W Huang, A Lleras-Muney","DM Cutler, W Huang, A Lleras-Muney - 2016 - nber.org",93,https://www.nber.org/papers/w22690,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
44,Risk taking for oneself and others: A structural model approach,2016,"FM Vieider, C Villegas‐Palacio, P Martinsson","FM Vieider, C Villegas‐Palacio, P Martinsson… - Economic …, 2016 - Wiley Online Library",85,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12290,True,high,Abstract has strong replication signal. (a_strong=1)
45,Trading down,2016,,"J Capaldo, A Izurieta - Unemployment, Inequality and other risks of the …, 2016 - bu.edu",83,https://www.bu.edu/eci/files/2020/01/16-01Capaldo-IzurietaTPP.pdf,False,high,No replication signals found in title or abstract.
46,"Horizontal, vertical, and conglomerate cross-border acquisitions",2016,,"N Herger, S McCorriston - IMF Economic Review, 2016 - Springer",75,https://link.springer.com/article/10.1057/imfer.2015.42,False,high,No replication signals found in title or abstract.
47,University knowledge and the creation of innovative start-ups: An analysis of the Italian case,2016,M Guerini,"N Ghio, M Guerini, C Rossi-Lamastra - Small Business Economics, 2016 - Springer",74,https://link.springer.com/article/10.1007/s11187-016-9720-2,True,high,Abstract has strong replication signal. (a_strong=1)
48,Cancelling out early age gender differences in competition: an analysis of policy interventions,2016,"M Sutter, D Glätzle-Rützler, L Balafoutas","M Sutter, D Glätzle-Rützler, L Balafoutas… - … Economics, 2016 - Springer",72,https://link.springer.com/article/10.1007/s10683-015-9447-y,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
49,"Gender, self-confidence, sports, and preferences for competition",2016,"I Comeig, A Grau-Grau, A Jaramillo-Gutiérrez","I Comeig, A Grau-Grau, A Jaramillo-Gutiérrez… - Journal of Business …, 2016 - Elsevier",70,https://www.sciencedirect.com/science/article/pii/S014829631500541X,True,high,Abstract has strong replication signal. (a_strong=1)
50,Using the Pareto distribution to improve estimates of topcoded earnings,2016,"RV Burkhauser, J Larrimore","P Armour, RV Burkhauser, J Larrimore - Economic Inquiry, 2016 - Wiley Online Library",67,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12299,True,high,Abstract has strong replication signal. (a_strong=1)
51,Technological congruence and the economic complexity of technological change,2016,C Antonelli,"C Antonelli - Structural Change and Economic Dynamics, 2016 - Elsevier",67,https://www.sciencedirect.com/science/article/pii/S0954349X15000661,False,medium,"Replication language appears incidental (method step, table/figure reproduction, own results)."
52,Cash inflows and bubbles in asset markets with constant fundamental values,2016,"CN Noussair, S Tucker","CN Noussair, S Tucker - Economic Inquiry, 2016 - Wiley Online Library",67,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12320,False,high,No replication signals found in title or abstract.
53,Reanalyzing zero returns to education in Germany,2016,"DA Kamhöfer, H Schmitz","DA Kamhöfer, H Schmitz - Journal of Applied Econometrics, 2016 - Wiley Online Library",66,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2461,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
54,Preference reversals: Time and again,2016,"C Alós-Ferrer, ÐG Granić","C Alós-Ferrer, ÐG Granić, J Kern… - Journal of Risk and …, 2016 - Springer",65,https://link.springer.com/article/10.1007/s11166-016-9233-z,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
55,Estimating the underground economy using MIMIC models,2016,,"T Breusch - Journal of Tax Administration, 2016 - journals.docuracy.co.uk",65,https://journals.docuracy.co.uk/jota/article/view/137,False,high,No replication signals found in title or abstract.
56,Hard times and regime failure: autocratic responses to economic downturns,2016,"D Tanneberg, C Stefes, W Merkel","D Tanneberg, C Stefes, W Merkel - Comparing autocracies in the …, 2016 - taylorfrancis.com",63,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315752853-6/hard-times-regime-failure-autocratic-responses-economic-downturns-dag-tanneberg-christoph-stefes-wolfgang-merkel,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
57,Tax reforms in Latin America in an era of democracy,2016,"M Hallerberg, C Scartascini","D Focanti, M Hallerberg, C Scartascini - Latin American Research …, 2016 - cambridge.org",62,https://www.cambridge.org/core/journals/latin-american-research-review/article/tax-reforms-in-latin-america-in-an-era-of-democracy/A2859A2BFB361DC9A214ECC1A1391F17,True,high,Abstract has multiple strong replication signals. (a_strong=2)
58,"Context may be King, but generalizability is the Emperor!",2016,"Z Cheng, A Dimoka, PA Pavlou","Z Cheng, A Dimoka, PA Pavlou - Journal of Information …, 2016 - journals.sagepub.com",62,https://journals.sagepub.com/doi/abs/10.1057/s41265-016-0005-7,True,high,Abstract has strong replication signal. (a_strong=1)
59,Equity premium prediction: Are economic and technical indicators unstable?,2016,L Menkhoff,"F Baetje, L Menkhoff - International Journal of Forecasting, 2016 - Elsevier",60,https://www.sciencedirect.com/science/article/pii/S0169207016300267,True,high,Abstract has strong replication signal. (a_strong=1)
60,Forecasting structural change and fat-tailed events in Australian macroeconomic variables,2016,"J Cross, A Poon","J Cross, A Poon - Economic Modelling, 2016 - Elsevier",56,https://www.sciencedirect.com/science/article/pii/S0264999316301237,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
61,On the timing and pricing of dividends: Comment,2016,F Schulz,"F Schulz - American Economic Review, 2016 - aeaweb.org",51,https://www.aeaweb.org/articles?id=10.1257/aer.20131416,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=3)"
62,Comparing exponential and exponentiated models of drug demand in cocaine users.,2016,"JC Strickland, CR Rush","JC Strickland, JA Lile, CR Rush… - Experimental and Clinical …, 2016 - psycnet.apa.org",51,https://psycnet.apa.org/fulltext/2016-58897-004.html,False,high,No replication signals found in title or abstract.
63,Smartphones vs PCs: Does the device affect the web survey experience and the measurement error for sensitive topics?-A replication of the Mavletova & Couper's …,2016,"D Toninelli, M Revilla","D Toninelli, M Revilla - Survey Research Methods, 2016 - ojs.ub.uni-konstanz.de",50,https://ojs.ub.uni-konstanz.de/srm/article/view/6274,True,high,"Title contains explicit replication indicator. (t_strong=2, a_strong=1)"
64,Malware avoidance motivations and behaviors: A technology threat avoidance replication,2016,"DK Young, A McLeod","DK Young, D Carpenter, A McLeod - … Transactions on Replication …, 2016 - aisel.aisnet.org",50,https://aisel.aisnet.org/trr/vol2/iss1/8/,True,high,Abstract has strong replication signal. (a_strong=1)
65,Foreign capital inflows and economic growth in developed and emerging economies: A comparative analysis,2016,"NN Sawalha, MI Elian, AH Suliman","NN Sawalha, MI Elian, AH Suliman - The Journal of Developing Areas, 2016 - muse.jhu.edu",50,https://muse.jhu.edu/pub/51/article/609333/summary,False,high,No replication signals found in title or abstract.
66,A simple diagnostic to investigate instrument validity and heterogeneous effects when using a single instrument,2016,SG Dieterle,"SG Dieterle, A Snell - Labour Economics, 2016 - Elsevier",49,https://www.sciencedirect.com/science/article/pii/S0927537116300847,False,high,No replication signals found in title or abstract.
67,The impact of private and public feedback on worker performance—evidence from the lab,2016,L Gerhards,"L Gerhards, N Siemer - Economic Inquiry, 2016 - Wiley Online Library",48,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12310,True,high,Abstract has strong replication signal. (a_strong=1)
68,Choice inconsistencies among the elderly: Evidence from plan choice in the Medicare Part D program: Comment,2016,"JD Ketcham, NV Kuminoff","JD Ketcham, NV Kuminoff, CA Powers - American Economic Review, 2016 - aeaweb.org",46,https://www.aeaweb.org/articles?id=10.1257/aer.20131048,True,high,Abstract has strong replication signal. (a_strong=1)
69,Reassessing the economic value of advanced level mathematics,2016,"M Adkins, A Noyes","M Adkins, A Noyes - British Educational Research Journal, 2016 - Wiley Online Library",46,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1002/berj.3219,False,high,No replication signals found in title or abstract.
70,Reputation formation in economic transactions,2016,"M Abraham, V Grimm","M Abraham, V Grimm, C Neeß, M Seebauer - Journal of Economic …, 2016 - Elsevier",46,https://www.sciencedirect.com/science/article/pii/S0167268115002772,True,high,Abstract has strong replication signal. (a_strong=1)
71,"Replicating the networking, mentoring and venture creation benefits of entrepreneurship centres on a shoestring: A student-centred approach to entrepreneurship …",2016,"R Bell, H Bell","R Bell, H Bell - Industry and Higher Education, 2016 - journals.sagepub.com",46,https://journals.sagepub.com/doi/abs/10.1177/0950422216660921,True,high,"Title contains explicit replication indicator. (t_strong=1, a_strong=0)"
72,Sexual selection and the evolution of altruism: males are more altruistic and cooperative towards attractive females,2016,MS Bhogal,"MS Bhogal, N Galbraith, K Manktelow - 2016 - wlv.openrepository.com",45,https://wlv.openrepository.com/items/10a7d1f6-cc50-4270-868c-021394a45e37,True,high,Abstract has multiple strong replication signals. (a_strong=2)
73,Professor Schneider's shadow economy: what do we really know? A rejoinder,2016,EL Feige,"EL Feige - Forthcoming in the Journal of Tax Administration, 2016 - papers.ssrn.com",45,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2793919,False,high,No replication signals found in title or abstract.
74,Impact of clusters on regional economic performance: A methodological investigation and application in the case of the precision goods sector in Switzerland,2016,,"M Resbeut, P Gugler - Competitiveness Review, 2016 - emerald.com",44,https://www.emerald.com/insight/content/doi/10.1108/cr-09-2015-0078/full/html,False,high,No replication signals found in title or abstract.
75,'Nonlinear causality between crude oil price and exchange rate: A comparative study of China and India'—A failed replication (negative Type 1 and Type 2),2016,"G De Vita, E Trachanas","G De Vita, E Trachanas - Energy Economics, 2016 - Elsevier",43,https://www.sciencedirect.com/science/article/pii/S0140988316300524,True,high,"Title contains explicit replication indicator. (t_strong=1, a_strong=2)"
76,Pricing competition: A new laboratory measure of gender differences in the willingness to compete,2016,"J Ifcher, H Zarghamee","J Ifcher, H Zarghamee - Experimental Economics, 2016 - Springer",43,https://link.springer.com/article/10.1007/s10683-015-9458-8,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
77,Looking upstream and downstream in entrepreneurial cognition: replicating and extending the Busenitz and Barney (1997) study,2016,"RJ Arend, J Im","RJ Arend, X Cao, A Grego‐Nagel, J Im… - Journal of Small …, 2016 - Taylor & Francis",42,https://www.tandfonline.com/doi/abs/10.1111/jsbm.12233,True,high,Abstract has strong replication signal. (a_strong=1)
78,"Income reliably predicts daily sadness, but not happiness: A replication and extension of Kushlev, Dunn, and Lucas (2015)",2016,"NW Hudson, RE Lucas","NW Hudson, RE Lucas… - Social psychological …, 2016 - journals.sagepub.com",42,https://journals.sagepub.com/doi/abs/10.1177/1948550616657599,True,high,"Title contains explicit replication indicator. (t_strong=2, a_strong=0)"
79,The elusive effects of trade on growth: Export diversity and economic take‐off,2016,"TS Eicher, DJ Kuenzel","TS Eicher, DJ Kuenzel - Canadian Journal of Economics …, 2016 - Wiley Online Library",40,https://onlinelibrary.wiley.com/doi/abs/10.1111/caje.12197,True,high,Abstract has strong replication signal. (a_strong=1)
80,An externality-robust auction: Theory and experimental evidence,2016,"B Bartling, N Netzer","B Bartling, N Netzer - Games and Economic Behavior, 2016 - Elsevier",40,https://www.sciencedirect.com/science/article/pii/S0899825616300197,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
81,Inequality and electoral accountability: Class-biased economic voting in comparative perspective,2016,"T Hicks, AM Jacobs, JS Matthews","T Hicks, AM Jacobs, JS Matthews - The Journal of Politics, 2016 - journals.uchicago.edu",38,https://www.journals.uchicago.edu/doi/abs/10.1086/686157,True,low,"One moderate signal; might be incidental use of ""replicate"". (a_mod=1)"
82,Academic knowledge and economic growth: are scientific fields all alike?,2016,"C Antonelli, C Fassio","C Antonelli, C Fassio - Socio-Economic Review, 2016 - academic.oup.com",37,https://academic.oup.com/ser/article-abstract/14/3/537/2599062,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
83,Long-run growth uncertainty,2016,"P Kuang, K Mitra","P Kuang, K Mitra - Journal of Monetary Economics, 2016 - Elsevier",31,https://www.sciencedirect.com/science/article/pii/S0304393216300137,False,high,No replication signals found in title or abstract.
84,Prospective analysis of behavioral economic predictors of stable moderation drinking among problem drinkers attempting natural recovery,2016,"JA Tucker, JW Cheong","JA Tucker, JW Cheong, SD Chandler… - Alcoholism: Clinical …, 2016 - Wiley Online Library",30,https://onlinelibrary.wiley.com/doi/abs/10.1111/acer.13245,True,high,Abstract has multiple strong replication signals. (a_strong=2)
85,The decline in the nutritional status of the US antebellum population at the onset of modern economic growth,2016,"J Komlos, B A'Hearn","J Komlos, B A'Hearn - 2016 - nber.org",29,https://www.nber.org/papers/w21845,True,high,Abstract has strong replication signal. (a_strong=1)
86,"The US business cycle, 1867–2006: A dynamic factor approach",2016,"A Ritschl, S Sarferaz, M Uebele","A Ritschl, S Sarferaz, M Uebele - Review of Economics and Statistics, 2016 - direct.mit.edu",29,https://direct.mit.edu/rest/article-abstract/98/1/159/58298,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
87,The impact of financial crises on the finance–growth relationship: A European perspective,2016,B Mahlberg,"P Haiss, H Juvan, B Mahlberg - … and Monetary Economics, 2016 - Wiley Online Library",28,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecno.12067,True,high,Abstract has strong replication signal. (a_strong=1)
88,Ambiguity attitudes in decisions for others,2016,C König-Kersting,"C König-Kersting, ST Trautmann - Economics Letters, 2016 - Elsevier",27,https://www.sciencedirect.com/science/article/pii/S0165176516302890,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
89,When good measurement goes wrong: New evidence that New York State's minimum wage reduced employment,2016,"JJ Sabia, RV Burkhauser, B Hansen","JJ Sabia, RV Burkhauser, B Hansen - ILR Review, 2016 - journals.sagepub.com",27,https://journals.sagepub.com/doi/abs/10.1177/0019793915610557,True,high,Abstract has strong replication signal. (a_strong=1)
90,From imitation to collusion: a replication,2016,"J Oechssler, A Roomets","J Oechssler, A Roomets, S Roth - Journal of the Economic Science …, 2016 - cambridge.org",26,https://www.cambridge.org/core/journals/journal-of-the-economic-science-association/article/from-imitation-to-collusion-a-replication/C6DD4EE127D5EE6803D2E3D1BF20DB4B,True,high,"Title contains explicit replication indicator. (t_strong=1, a_strong=0)"
91,To plan or not to plan—mindset effects on visual attention in decision making.,2016,"J Rahn, A Achtziger","J Rahn, A Jaudas, A Achtziger - … , Psychology, and Economics, 2016 - psycnet.apa.org",25,https://psycnet.apa.org/journals/npe/9/2/109/,False,high,No replication signals found in title or abstract.
92,Does bilateral trust across countries really affect international trade and factor mobility?,2016,,"E Spring, V Grossmann - Empirical Economics, 2016 - Springer",24,https://link.springer.com/article/10.1007/s00181-015-0915-1,True,high,Abstract has multiple strong replication signals. (a_strong=2)
93,Flexible estimation of copulas: An application to the US housing crisis,2016,"ATY Ho, KP Huynh","ATY Ho, KP Huynh… - Journal of Applied …, 2016 - Wiley Online Library",23,https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2437,True,high,Abstract has multiple strong replication signals. (a_strong=2)
94,Built to last: Understanding the link between democracy and conflict in the international system,2016,"MJC Crescenzi, KM Kadera","MJC Crescenzi, KM Kadera - International Studies Quarterly, 2016 - academic.oup.com",23,https://academic.oup.com/isq/article-abstract/60/3/565/2469857,True,medium,"Multiple moderate replication signals, no negatives. (a_mod=2)"
